Universidade Tecnológica Federal do Paraná - Câmpus Guarapuava,UTFPR-GP,Guarapuava,PR
Universidade do Vale do Itajaí,Univali,Itajaí,SC
Universidade do Estado de Santa Catarina,UDESC,Florianópolis,SC
Universidade Federal do Paraná,UFPR,Curitiba,PR
Universidade Tecnológica Federal do Paraná - Câmpus Cornélio Procópio,UTFPR-CP,Cornélio Procópio,PR
Universidade Federal da Paraíba,UFPB,Paraíba,PB
Instituto Federal do Rio Grande do Sul - Câmpus Osório,IFRS-OS,Osório,RS
Pontifícia Universidade Católica do Rio Grande do Sul,PUCRS,Porto Alegre,RS
Instituto Federal de Educação Ciência e Tecnologia Farroupilha,IFFAR,Santa Maria,RS
Portal da Universidade Federal de Campina Grande,UFCG,Campina Grande,PB
Universidade Federal Fluminense,UFF,Niterói,RJ
Universidade Federal do Rio Grande - Câmpus Carreiros,FURG-CA,Carreiros,RS
Universidade Federal da Bahia,UFBA,Salvador,BA
Universidade Federal do Amazonas,UFAM,Manaus,AM
Universidade Federal do Pampa - Câmpus Bagé,UNIPAMPA-BA,Bagé,RS
Universidade Federal do Rio de Janeiro,UFRJ,Rio de Janeiro,RJ
Universidade Federal do Rio Grande do Sul,UFRGS,Porto Alegre,RS
Universidade Tecnológica Federal do Paraná - Câmpus Francisco Beltrão,UTFPR-FB,Francisco Beltrão,PR
Universidade Presbiteriana Mackenzie,Mackenzie,São Paulo,SP
